categoria,custo_semanal_brl,semanas,custo_total_brl,observacao
Pessoas,3253.57,17,55310.64,"11 integrantes na R1 e 10 a partir da R2 (177 semanas-integrante); orçamento médio aproximado pelo total oficial de estudantes da UnB"
Depreciacao_dos_computadores,141.70,17,2408.97,"11 computadores na R1 e 10 a partir da R2"
Energia_eletrica,4.79,17,81.42,"Uso extraclasse estimado"
Internet,20.20,17,343.38,"Rateio do plano residencial de referência"
Servicos_licencas_hospedagem,0.00,17,0.00,"Planos educacionais/gratuitos e produto offline"
Linha_de_base_BAC,3420.26,17,58144.41,"Custo semanal médio do semestre; totais calculados com premissas nao arredondadas"
Reserva_gerencial,171.01,17,2907.22,"5% da linha de base; nao integra o BAC antes de aprovacao"
Orcamento_total_autorizado,3591.27,17,61051.63,"BAC mais reserva gerencial"
